RA               , DEC                , PMra      , PMdec     , PMCorr , Vlos    , plx                  , Rgc   , Xgc                 , Ygc   , Zgc      , cosphi              , sinphi            , costheta            , sintheta             , ePMra    , ePMdec   , eVlos , eRgc  , Fullname   , Rsun  , cospsi
206.611666666667 , -51.37425          , 0.000207  , -0.000112 , -0.002 , 62.38   , 8.54700854700855e-05 , 8.9   , -0.4                , -8.6  , 2.0795   , 0.237103815484187   , 0.972046304033639 , -0.0464613993524682 , -0.998920086078066   , 6e-05    , 5.9e-05  , 0.4   , 0.445 , NGC 5286   , 11.7  , 0.730335060741381
211.363333333333 , 28.5344444444444   , -0.005408 , -0.000793 , 0.010  , 106.93  , 6.25e-05             , 16.3  , -4.7                , 3     , 15.2795  , 0.940665003303438   , 0.342810343246242 , -0.842922209577588  , 0.538035452921865    , 5.4e-05  , 5.4e-05  , 0.18  , 0.815 , NGC 5466   , 16    , 0.877472353815184
217.405          , -5.97641666666667  , -0.001718 , -0.001508 , -0.002 , -16.07  , 3.96825396825397e-05 , 21.2  , 7.7                 , -5    , 19.0795  , 0.90207076563584    , 0.433605985002013 , 0.838692381993937   , -0.544605442853206   , 6.4e-05  , 6.3e-05  , 0.6   , 1.06  , NGC 5634   , 25.2  , 0.955075976854972
219.900833333333 , -26.5389444444444  , -0.000487 , -0.001071 , -0.060 , -139.55 , 2.85714285714286e-05 , 29.4  , 18.4                , -14.6 , 17.6795  , 0.602067034825042   , 0.798970871305719 , 0.783354710418287   , -0.621574933266684   , 6.9e-05  , 6.8e-05  , 0.49  , 1.47  , NGC 5694   , 35    , 0.984139737487852
225.076666666667 , -82.2136944444445  , 0.000489  , -0.000487 , 0.006  , 38.41   , 5.31914893617021e-05 , 15.7  , 2.7                 , -14   , -6.6205  , -0.419845102395828  , 0.906991388803359 , 0.189367635389659   , -0.981906257576012   , 5.9e-05  , 5.9e-05  , 0.31  , 0.785 , IC 4499    , 18.8  , 0.907862819741835
225.994166666667 , -33.0682222222222  , -0.001172 , -0.002231 , 0.012  , -25.24  , 3.11526479750779e-05 , 25.9  , 18.4                , -13.7 , 12.0795  , 0.466710576112279   , 0.884826918950271 , 0.802087537649262   , -0.597206481836679   , 5.9e-05  , 5.8e-05  , 0.52  , 1.295 , NGC 5824   , 32.1  , 0.984627900113064
229.021666666667 , 0.111611111111111  , -0.002736 , -0.002646 , -0.048 , -58.6   , 4.31034482758621e-05 , 18.6  , 8.2                 , 0.2   , 16.6795  , 0.89846553091674    , 0.441293916590045 , 0.99970269064305    , 0.0243829924547085   , 6.4e-05  , 6.4e-05  , 0.21  , 0.93  , Pal 5      , 23.2  , 0.950361025850482
229.352083333333 , -21.0102777777778  , -0.005427 , -0.00344  , -0.014 , 101.31  , 8e-05                , 7.4   , 2.3                 , -3.2  , 6.2795   , 0.849784510059466   , 0.531562076004061 , 0.583636048152575   , -0.812015371342713   , 5.7e-05  , 5.7e-05  , 0.22  , 0.37  , NGC 5897   , 12.5  , 0.794646377027027
229.638333333333 , 2.08102777777778   , 0.004081  , -0.009855 , -0.008 , 53.7    , 0.000133333333333333 , 6.2   , -2.9                , 0.3   , 5.4795   , 0.886118523766293   , 0.469719498655689 , -0.994691793826551  , 0.102899151085505    , 4.7e-05  , 4.7e-05  , 0.25  , 0.31  , NGC 5904   , 7.5   , 0.329995481182796
232.0025         , -50.6730277777778  , -0.005053 , -0.003236 , -0.003 , -104.07 , 0.00012987012987013  , 4.6   , -1.6                , -4.2  , 0.6795   , 0.153997901015214   , 0.988763545582026 , -0.355995327591988  , -0.934487734928968   , 5.6e-05  , 5.5e-05  , 0.28  , 0.23  , NGC 5927   , 7.7   , 0.232207506352344
233.86875        , -50.6596666666667  , -0.005327 , -0.001609 , -0.008 , 137.41  , 9.43396226415094e-05 , 5.8   , 0.9                 , -5.6  , 0.7795   , 0.139733738113339   , 0.99068781357203  , 0.158678095383755   , -0.987330371276699   , 6.5e-05  , 6.4e-05  , 1.42  , 0.29  , NGC 5946   , 10.6  , 0.666880121584255
234.780833333333 , -50.0527222222222  , -0.004002 , -0.003064 , 0.019  , -6      , 5.29100529100529e-05 , 12.9  , 8.1                 , -9.9  , 1.3795   , 0.108817522674557   , 0.994234875367185 , 0.633237790257263   , -0.773957299203321   , 7.1e-05  , 6.7e-05  , 14    , 0.645 , BH 176     , 18.9  , 0.942577375312743
236.5125         , -37.7864166666667  , -0.004195 , -0.004595 , -0.011 , 101.18  , 9.61538461538461e-05 , 4.8   , 1.3                 , -4    , 2.3795   , 0.496648367671693   , 0.870365538594596 , 0.309086072337558   , -0.951034068730948   , 6e-05    , 5.9e-05  , 0.43  , 0.24  , NGC 5986   , 10.4  , 0.673072713842148
242.7525         , 14.9577777777778   , -0.000504 , -0.000461 , 0.167  , 72.3    , 1.30718954248366e-05 , 71.6  , 41.7                , 27.3  , 51.3795  , 0.718054088101634   , 0.696282645298942 , 0.836651366039942   , 0.54773578640025     , 8.1e-05  , 7.8e-05  , 0.14  , 3.58  , Pal 14     , 76.5  , 0.996349507042575
242.765          , -55.3177777777778  , -0.003859 , -0.00704  , -0.007 , 17.86   , 0.000125             , 4.3   , -1.2                , -4.1  , -0.4205  , -0.0931825930417246 , 0.995190529933618 , -0.280898753270713  , -0.959737407008271   , 6.2e-05  , 6.2e-05  , 0.83  , 0.215 , Lynga 7    , 8     , 0.268743891715116
244.26           , -22.9760833333333  , -0.002933 , -0.005576 , 0.001  , 10.93   , 1e-04                , 3.8   , 1.4                 , -1.2  , 3.2795   , 0.877116252478228   , 0.490097714178009 , 0.759256602365297   , -0.650791373455968   , 6.1e-05  , 6e-05    , 0.39  , 0.19  , NGC 6093   , 10    , 0.663678680921053
245.896666666667 , -26.52575          , -0.01249  , -0.018991 , -0.001 , 71.05   , 0.000454545454545455 , 5.9   , -5.9                , -0.3  , 0.5795   , 0.101078562626066   , 0.995223266697048 , -0.99870976937166   , -0.0507818526799149  , 4.5e-05  , 4.5e-05  , 0.08  , 0.295 , NGC 6121   , 2.2   , -0.937997698382126
246.450416666667 , -72.2021944444445  , 0.001758  , -0.000221 , 0.005  , 366.33  , 6.49350649350649e-05 , 11.2  , 3                   , -10   , -4.2205  , -0.372964977582004  , 0.927111591201209 , 0.287347885566345   , -0.957826285221151   , 5.4e-05  , 5.4e-05  , 0.32  , 0.56  , NGC 6101   , 15.4  , 0.865606388421846
246.8075         , -26.0235           , -0.001764 , -0.002617 , 0.002  , 195.74  , 0.000112359550561798 , 2.7   , 0.5                 , -1.2  , 2.3795   , 0.885131699238211   , 0.479446337087365 , 0.384615384615385   , -0.923076923076923   , 6.2e-05  , 6.1e-05  , 0.74  , 0.135 , NGC 6144   , 8.9   , 0.468156049729505
246.917916666667 , -38.84875          , -0.006192 , -0.002655 , 0.006  , 24.41   , 9.9009900990099e-05  , 3.6   , 1.6                 , -3    , 1.1795   , 0.333446299040639   , 0.944764513948476 , 0.470588235294118   , -0.882352941176471   , 6.2e-05  , 6.1e-05  , 0.95  , 0.18  , NGC 6139   , 10.1  , 0.700901811743675
247.166666666667 , -35.3534722222222  , -0.005607 , -0.00169  , 0.006  , -135.76 , 0.000121951219512195 , 2.5   , -0.2                , -2.1  , 1.2795   , 0.526911177758324   , 0.855015651660489 , -0.0948090926279955 , -0.995495472593952   , 6.3e-05  , 6.2e-05  , 0.57  , 0.125 , Terzan 3   , 8.2   , 0.231453164634146
248.1325         , -13.0537777777778  , -0.001926 , -0.005964 , 0.000  , -34.68  , 0.00015625           , 3.3   , -2.1                , 0.3   , 2.4795   , 0.766139076414172   , 0.650090563517351 , -0.989949493661167  , 0.14142135623731     , 5.7e-05  , 5.6e-05  , 0.19  , 0.165 , NGC 6171   , 6.4   , -0.287651994554924
249.855833333333 , -28.3986944444444  , -0.00154  , -0.006418 , -0.016 , 16.27   , 0.000120481927710843 , 2.1   , 0                   , -1.1  , 1.6795   , 0.846754654859522   , 0.547900070791455 , 0                   , -1                   , 7e-05    , 6.8e-05  , 0.48  , 0.105 , 1636-283   , 8.3   , 0.266769355995411
250.421666666667 , 36.4598611111111   , -0.003166 , -0.00259  , 0.011  , -244.49 , 0.000140845070422535 , 8.4   , -5.2                , 4.6   , 4.6795   , 0.561365748747251   , 0.829223444213409 , -0.748996562490381  , 0.662573882203029    , 4.7e-05  , 4.8e-05  , 0.43  , 0.42  , NGC 6205   , 7.1   , 0.477612170942321
251.744583333333 , 47.52775           , -0.001187 , -0.000435 , 0.009  , -138.64 , 3.27868852459016e-05 , 29.8  , -1.5                , 22.3  , 19.6795  , 0.66152737490454    , 0.75052770629825  , -0.0671129183712594 , 0.997745386452723    , 6.3e-05  , 6.4e-05  , 0.77  , 1.49  , NGC 6229   , 30.5  , 0.965061931868192
251.80875        , -1.94852777777778  , -0.000139 , -0.006798 , 0.019  , -41.35  , 0.000208333333333333 , 4.5   , -3.8                , 1.2   , 2.0795   , 0.467193909875863   , 0.886549781676214 , -0.953582665134142  , 0.301131367937097    , 5.2e-05  , 5.1e-05  , 0.2   , 0.225 , NGC 6218   , 4.8   , -0.479407876157407
253.044166666667 , -47.0580555555556  , -0.005015 , -0.000141 , -0.134 , -69.85  , 0.000102040816326531 , 3.7   , 1.1                 , -3.5  , -0.3205  , -0.0814606465535068 , 0.996205942401697 , 0.299826596740394   , -0.953993716901256   , 0.000112 , 0.000103 , 4.88  , 0.185 , FSR 1735   , 9.8   , 0.630578871345836
253.355416666667 , -22.1774444444444  , -0.00398  , -0.007608 , 0.009  , 126.68  , 8.69565217391305e-05 , 4.2   , 3.2                 , -0.2  , 2.6795   , 0.646167519333502   , 0.767322471353204 , 0.998052578482889   , -0.0623782861551806  , 6.3e-05  , 6.2e-05  , 0.33  , 0.21  , NGC 6235   , 11.5  , 0.88912608436853
254.2875         , -4.10030555555556  , -0.004763 , -0.006558 , 0.012  , 74.02   , 0.000227272727272727 , 4.6   , -4.1                , 1.1   , 1.6795   , 0.372385326249622   , 0.929867419640152 , -0.965842837234668  , 0.25912856608735     , 4.9e-05  , 4.8e-05  , 0.31  , 0.23  , NGC 6254   , 4.4   , -0.58004990736166
254.885833333333 , -37.1213888888889  , -0.003669 , -0.001495 , 0.005  , -101.37 , 9.70873786407767e-05 , 3     , 2                   , -2.2  , 0.5795   , 0.198074606449143   , 0.981530238857005 , 0.672672793996313   , -0.739940073395944   , 6.8e-05  , 6.6e-05  , 1.19  , 0.15  , NGC 6256   , 10.3  , 0.826692228964402
254.9625         , 0.538888888888889  , -0.00058  , -0.000861 , 0.027  , 72.27   , 2.21729490022173e-05 , 38.4  , 30.9                , 13.3  , 18.5795  , 0.483991483231866   , 0.875367529778185 , 0.918528892096666   , 0.395353859705038    , 7.6e-05  , 7e-05    , 1.74  , 1.92  , Pal 15     , 45.1  , 0.994482625343565
255.303333333333 , -30.1137222222222  , -0.005047 , -0.002952 , 0.004  , -73.49  , 0.000147058823529412 , 1.7   , -1.3                , -0.8  , 0.8795   , 0.51087566698305    , 0.866464290316464 , -0.851658316704544  , -0.524097425664335   , 5.8e-05  , 5.7e-05  , 0.7   , 0.085 , NGC 6266   , 6.8   , -0.643184266868512
255.6575         , -26.2679722222222  , -0.003236 , 0.001667  , 0.010  , 145.54  , 0.000113636363636364 , 1.7   , 0.699999999999999   , -0.5  , 1.3795   , 0.861147986333274   , 0.529133934392686 , 0.813733471206735   , -0.581238193719097   , 5.7e-05  , 5.7e-05  , 0.59  , 0.085 , NGC 6273   , 8.8   , 0.545774724264707
256.11875        , -24.7648611111111  , -0.00318  , -0.00201  , 0.009  , 28.26   , 6.5359477124183e-05  , 7.5   , 7                   , -0.4  , 2.5795   , 0.348018614150953   , 0.938501697352389 , 0.998371334423977   , -0.057049790538513   , 6.5e-05  , 6.4e-05  , 0.93  , 0.375 , NGC 6284   , 15.3  , 0.986229105664488
256.287916666667 , -22.7083611111111  , -0.004988 , -0.00189  , 0.003  , -294.74 , 0.000106382978723404 , 2.1   , 1.2                 , 0     , 1.7795   , 0.838651057472558   , 0.559100704981705 , 1                   , 0                    , 6.1e-05  , 6e-05    , 1.65  , 0.105 , NGC 6287   , 9.4   , 0.728712759625127
257.5425         , -26.5820833333333  , 0.000886  , -0.004333 , 0.007  , -143.66 , 0.000105263157894737 , 1.9   , 1.4                 , -0.4  , 1.2795   , 0.670680693402999   , 0.751173715168106 , 0.961523947640823   , -0.274721127897378   , 6.4e-05  , 6.3e-05  , 0.39  , 0.095 , NGC 6293   , 9.5   , 0.827135173130194
258.634166666667 , -29.4620277777778  , -0.00405  , -0.001067 , 0.004  , -108.62 , 0.000169491525423729 , 2.3   , -2.2                , -0.4  , 0.5795   , 0.259747068570194   , 0.968020170465423 , -0.983869910099908  , -0.178885438199983   , 6.3e-05  , 6.2e-05  , 0.39  , 0.115 , NGC 6304   , 5.9   , -0.880634497052321
259.155416666667 , -28.1401111111111  , -0.004951 , -0.004603 , 0.012  , 99.81   , 9.61538461538461e-05 , 2.6   , 2.4                 , -0.5  , 0.9795   , 0.378792763461192   , 0.928621874327707 , 0.978980419737605   , -0.203954254112001   , 6.6e-05  , 6.5e-05  , 0.82  , 0.13  , NGC 6316   , 10.4  , 0.941560276442308
259.280416666667 , 43.1359444444445   , -0.004921 , -0.000534 , 0.010  , -120.48 , 0.000120481927710843 , 9.6   , -5.5                , 6.3   , 4.6795   , 0.490441611457691   , 0.872674461706911 , -0.657657648835018  , 0.753316943211021    , 5.2e-05  , 5.2e-05  , 0.27  , 0.48  , NGC 6341   , 8.3   , 0.60899585686496
259.496666666667 , -23.766            , -0.008429 , -0.009011 , 0.008  , 29.54   , 0.000128205128205128 , 1.1   , -0.3                , 0.1   , 1.0795   , 0.977895518657247   , 0.281125195693507 , -0.948683298050514  , 0.316227766016838    , 6.7e-05  , 6.6e-05  , 0.58  , 0.055 , NGC 6325   , 7.8   , -0.113660853729603
259.796666666667 , -18.5159444444444  , -0.002221 , -0.003214 , 0.009  , 310.75  , 0.000126582278481013 , 1.7   , -0.3                , 0.7   , 1.4795   , 0.901438360300933   , 0.457676668064927 , -0.393919298579168  , 0.919145030018058    , 5.8e-05  , 5.7e-05  , 2.12  , 0.085 , NGC 6333   , 7.9   , 0.0483834605361134
260.291666666667 , -19.5874166666667  , -0.00293  , -0.0071   , 0.004  , 116.56  , 0.000117647058823529 , 1.7   , 0.4                 , 0.7   , 1.3795   , 0.876195273077742   , 0.504579437813828 , 0.496138938356834   , 0.868243142124459    , 6.4e-05  , 6.4e-05  , 0.74  , 0.085 , NGC 6342   , 8.5   , 0.385452586505191
260.895416666667 , -17.8130277777778  , -0.003814 , -0.003378 , 0.010  , 38.93   , 6.62251655629139e-05 , 7.5   , 6.7                 , 1.7   , 2.6795   , 0.364201313227842   , 0.932396889380372 , 0.969285531300649   , 0.245938119882254    , 6e-05    , 6e-05    , 1.88  , 0.375 , NGC 6356   , 15.1  , 0.972448475717439
260.99375        , -26.3534166666667  , -0.004649 , -0.00051  , 0.014  , -194.13 , 0.000108695652173913 , 1.4   , 1.2                 , -0.1  , 0.8795   , 0.603562105573207   , 0.807538908714976 , 0.99654575824488    , -0.08304547985374    , 6.6e-05  , 6.5e-05  , 0.83  , 0.07  , NGC 6355   , 9.2   , 0.877312878493789
261.37125        , -48.4221666666667  , -0.002173 , -0.004397 , 0.003  , -125.63 , 0.000178571428571429 , 3.3   , -2.7                , -1.8  , -0.7205  , -0.210588276358836  , 0.976225922258609 , -0.832050294337844  , -0.554700196225229   , 5.7e-05  , 5.7e-05  , 1.01  , 0.165 , NGC 6352   , 5.6   , -0.588485396374459
261.785416666667 , -7.09305555555556  , -0.000928 , -0.001407 , 0.037  , -137.97 , 4e-05                , 17.9  , 15.2                , 6.9   , 6.4795   , 0.363001670939534   , 0.932233684314136 , 0.910571523184018   , 0.413351546708534    , 8.7e-05  , 8.1e-05  , 2.04  , 0.895 , IC 1257    , 25    , 0.984815172905028
261.887916666667 , -30.8023333333333  , -0.002237 , -0.00621  , 0.086  , 128.96  , 0.000133333333333333 , 0.8   , -0.5                , -0.5  , 0.2795   , 0.394559190427996   , 0.929984930437035 , -0.707106781186548  , -0.707106781186548   , 8.1e-05  , 7.5e-05  , 1.18  , 0.04  , Terzan 2   , 7.5   , -0.592535020833333
261.934166666667 , -5.07986111111111  , -0.000356 , -0.00512  , 0.015  , -120.65 , 0.000285714285714286 , 5     , -4.8                , 1.1   , 0.9795   , 0.199167545350155   , 0.980786416443228 , -0.974732318528274  , 0.223376156329396    , 5.3e-05  , 5.3e-05  , 0.19  , 0.25  , NGC 6366   , 3.5   , -0.764297721428571
262.6625         , -31.5955277777778  , -0.005386 , -0.003392 , 0.020  , -39.93  , 0.000138888888888889 , 1     , -0.8                , -0.5  , 0.1795   , 0.208263263041446   , 0.98237584701677  , -0.847998304005088  , -0.52999894000318    , 8.6e-05  , 7.8e-05  , 3.76  , 0.05  , Terzan 4   , 7.2   , -0.775029184027777
262.771666666667 , -29.9816666666667  , 0.002462  , -0.010149 , -0.001 , 40.61   , 0.000121951219512195 , 0.5   , 0.199999999999999   , -0.4  , 0.2795   , 0.568859413464604   , 0.848005545431675 , 0.447213595499957   , -0.894427190999917   , 7.2e-05  , 7e-05    , 1.29  , 0.025 , HP 1       , 8.2   , 0.425558506097562
262.97875        , -67.0483333333333  , -0.005507 , -0.004747 , -0.000 , -14.58  , 0.000131578947368421 , 5.1   , -2                  , -4.1  , -2.3205  , -0.449387464397292  , 0.891310777135461 , -0.438423632021414  , -0.8987684456439     , 5.2e-05  , 5.2e-05  , 0.18  , 0.255 , NGC 6362   , 7.6   , 0.255025538570692
